Date,Open,High,Low,Close,5,10,20,60,120,Volume,5,20,40,60
20200224,184500,186000,182000,183500,187100,181700,172675,162083,151313,792733,769777,598888,532014,481045
20200221,188500,191500,187500,189500,186500,180250,171775,161633,150900,558497,677112,575422,519280,472838
20200220,190500,191500,188000,190500,184600,178050,170600,161025,150425,547405,755030,572715,518954,469113
20200219,184000,190500,183500,190000,182300,175600,169325,160417,149946,1362998,1021145,564802,509665,471104
20200218,180500,183500,179000,182000,178700,172900,168250,159858,149471,587253,830129,515678,481909,453932
20200217,180000,182000,179000,180500,176300,171150,167575,159433,149050,329408,774102,504051,474124,449532
20200214,181000,184500,179000,180000,174000,169050,167125,159050,148646,948085,783262,500583,473316,450248
20200213,174500,181500,173500,179000,171500,166950,166625,158642,148233,1877980,698065,476285,461034,439131
20200212,169500,172000,168000,172000,168900,165250,166025,158233,147821,407917,432878,403550,431844,418688
20200211,169000,170000,168000,170000,167100,164400,165775,157925,147475,307120,442685,406938,433648,418172
20200210,167500,169500,166000,169000,166000,163650,165525,157650,147154,375209,460216,411677,438872,419659
20200207,167000,170500,166000,167500,164100,163300,165275,157400,146829,522100,469956,436833,436175,421902
20200206,165500,168000,163500,166000,162400,163150,164875,157142,146533,552044,434749,453309,433507,428213
20200205,166500,167000,161500,163000,161600,163050,164575,156892,146208,456954,408122,467716,440742,439382
20200204,161500,165500,160500,164500,161700,163600,164150,156692,145879,394773,367764,464554,435147,440379
20200203,156000,160500,156000,159500,161300,164000,163550,156425,145525,423907,391455,460558,431164,442179
20200131,162500,164000,158500,159000,162500,165200,163200,156208,145217,346067,371358,451415,426821,442389
20200130,163000,165500,160500,162000,163900,166300,162925,155983,144963,418908,403015,455541,429951,448572
20200129,165500,166000,162500,163500,164500,166800,162500,155642,144667,255167,397064,469123,424934,453693
20200128,160000,163500,159500,162500,165500,167150,161725,155217,144363,513228,422133,472410,425920,453629
20200123,168000,168000,164500,165500,166700,167400,160925,154833,144058,323420,390432,465140,422124,451196
20200122,166000,169000,164500,166000,167900,167250,160075,154408,143754,504350,377758,463139,421546,456905
20200121,168500,169000,163500,165000,168700,166600,159275,153975,143463,389155,369311,465194,417313,451775
20200120,169000,170000,167000,168500,169100,166100,158525,153550,143179,380510,376138,454528,424255,453458
